2026-03-18T13:13:38.257951 00123456780210504575236370023200009 -> {'device_id': 12345678, 'temperature': 21.05, 'humidity': 45.75, 'distance': 236.37, 'mq4': 232, 'mq136': 9, 'timestamp': '2026-03-18T13:13:38.257565'}
2026-03-18T13:13:39.258880 00123456780210604568121990022700009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.68, 'distance': 121.99, 'mq4': 227, 'mq136': 9, 'timestamp': '2026-03-18T13:13:39.258519'}
2026-03-18T13:13:41.271820 00123456780210404566236590023500009 -> {'device_id': 12345678, 'temperature': 21.04, 'humidity': 45.66, 'distance': 236.59, 'mq4': 235, 'mq136': 9, 'timestamp': '2026-03-18T13:13:41.271449'}
2026-03-18T13:13:42.273974 00123456780210404578121630022900009 -> {'device_id': 12345678, 'temperature': 21.04, 'humidity': 45.78, 'distance': 121.63, 'mq4': 229, 'mq136': 9, 'timestamp': '2026-03-18T13:13:42.273379'}
2026-03-18T13:13:43.276546 00123456780210404567236570023000009 -> {'device_id': 12345678, 'temperature': 21.04, 'humidity': 45.67, 'distance': 236.57, 'mq4': 230, 'mq136': 9, 'timestamp': '2026-03-18T13:13:43.275901'}
2026-03-18T13:13:44.279095 00123456780210604576121800022600009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.76, 'distance': 121.8, 'mq4': 226, 'mq136': 9, 'timestamp': '2026-03-18T13:13:44.278542'}
2026-03-18T13:13:45.280884 00123456780210504571236540023200009 -> {'device_id': 12345678, 'temperature': 21.05, 'humidity': 45.71, 'distance': 236.54, 'mq4': 232, 'mq136': 9, 'timestamp': '2026-03-18T13:13:45.280369'}
2026-03-18T13:13:46.282688 00123456780210504576121830022800009 -> {'device_id': 12345678, 'temperature': 21.05, 'humidity': 45.76, 'distance': 121.83, 'mq4': 228, 'mq136': 9, 'timestamp': '2026-03-18T13:13:46.282135'}
2026-03-18T13:13:48.284981 00123456780210304575236320023000009 -> {'device_id': 12345678, 'temperature': 21.03, 'humidity': 45.75, 'distance': 236.32, 'mq4': 230, 'mq136': 9, 'timestamp': '2026-03-18T13:13:48.284607'}
2026-03-18T13:13:49.286904 00123456780210404580121600022800009 -> {'device_id': 12345678, 'temperature': 21.04, 'humidity': 45.8, 'distance': 121.6, 'mq4': 228, 'mq136': 9, 'timestamp': '2026-03-18T13:13:49.286529'}
2026-03-18T13:13:50.288612 00123456780210304557236320023100009 -> {'device_id': 12345678, 'temperature': 21.03, 'humidity': 45.57, 'distance': 236.32, 'mq4': 231, 'mq136': 9, 'timestamp': '2026-03-18T13:13:50.288241'}
2026-03-18T13:13:51.290121 00123456780210504566121530022800009 -> {'device_id': 12345678, 'temperature': 21.05, 'humidity': 45.66, 'distance': 121.53, 'mq4': 228, 'mq136': 9, 'timestamp': '2026-03-18T13:13:51.289739'}
2026-03-18T13:13:52.291478 00123456780210604575236470022900009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.75, 'distance': 236.47, 'mq4': 229, 'mq136': 9, 'timestamp': '2026-03-18T13:13:52.291095'}
2026-03-18T13:13:53.292653 00123456780210504565121660022600009 -> {'device_id': 12345678, 'temperature': 21.05, 'humidity': 45.65, 'distance': 121.66, 'mq4': 226, 'mq136': 9, 'timestamp': '2026-03-18T13:13:53.292293'}
2026-03-18T13:13:54.293734 00123456780210704578236370022900009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.78, 'distance': 236.37, 'mq4': 229, 'mq136': 9, 'timestamp': '2026-03-18T13:13:54.293367'}
2026-03-18T13:13:56.306874 00123456780210604578121560022700009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.78, 'distance': 121.56, 'mq4': 227, 'mq136': 9, 'timestamp': '2026-03-18T13:13:56.306492'}
2026-03-18T13:13:57.309058 00123456780210704568236540023000009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.68, 'distance': 236.54, 'mq4': 230, 'mq136': 9, 'timestamp': '2026-03-18T13:13:57.308488'}
2026-03-18T13:13:58.311268 00123456780210704579121680022800009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.79, 'distance': 121.68, 'mq4': 228, 'mq136': 9, 'timestamp': '2026-03-18T13:13:58.310645'}
2026-03-18T13:13:59.314020 00123456780210704572236660023200009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.72, 'distance': 236.66, 'mq4': 232, 'mq136': 9, 'timestamp': '2026-03-18T13:13:59.313433'}
2026-03-18T13:14:00.315809 00123456780210704577121490023200009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.77, 'distance': 121.49, 'mq4': 232, 'mq136': 9, 'timestamp': '2026-03-18T13:14:00.315276'}
2026-03-18T13:14:01.318022 00123456780210704566236230023000009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.66, 'distance': 236.23, 'mq4': 230, 'mq136': 9, 'timestamp': '2026-03-18T13:14:01.317426'}
2026-03-18T13:14:02.319649 00123456780210504577121630022600009 -> {'device_id': 12345678, 'temperature': 21.05, 'humidity': 45.77, 'distance': 121.63, 'mq4': 226, 'mq136': 9, 'timestamp': '2026-03-18T13:14:02.319055'}
